sample #,species,CO2 treatment,sample type,Filename,Arginine,Caffeine,Chlorogenic acid,Cinnamic acid,Eugenol,Gallic acid,Histidine,Isoleucine + Leucine,Kaempferol,Lysine,Methionine,Nicotine,P-coumaric acid,Phenylalanine,Quercitin,Threonine,Tryptophan,Valine,Round
14,poppy,elevated,pollen,SUB09281_SPL14,1473082,1261368,N/F,N/F,2149899,8142841,204828175,212971016,75564969,573560,1120059,N/F,N/F,26754239,303888,23321992,10132680,3111561912,1
15,poppy,elevated,pollen,SUB09281_SPL15,1480200,1371758,N/F,N/F,2078018,18699600,214842143,233541743,68800049,534273,1222440,N/F,N/F,33696378,479005,21811057,9262982,2174301782,1
16,poppy,elevated,pollen,SUB09281_SPL16,40742312,1095101,N/F,N/F,N/F,9805435,226510371,236315806,135236975,10289355,1417546,N/F,N/F,33056075,69252,52160951,21419804,3026973895,1
17,poppy,elevated,pollen,SUB09281_SPL17,2762883,2108012,N/F,N/F,N/F,8039612,340246974,348286586,114386077,1383223,1150226,N/F,N/F,42892180,87802,41333863,13314530,2186015419,1
18,poppy,elevated,pollen,SUB09281_SPL18,2076883,1497392,N/F,N/F,N/F,17186146,208784400,225970546,72076363,850293,3618700,N/F,N/F,46170121,101902,27492780,13250531,1980360195,1
19,poppy,elevated,pollen,SUB09281_SPL19,2489987,892652,N/F,N/F,1554514,18345238,197771793,216117031,107667897,1867185,3553145,N/F,N/F,56228884,206139,23505214,14245364,2606510937,1
20,poppy,elevated,pollen,SUB09281_SPL20_20210322085540,2661711,887278,N/F,N/F,1454795,19424899,198644515,218069414,80023388,1050183,1390321,N/F,N/F,32983821,154951,25243930,9529095,1147830396,1
21,sunflower,elevated,pollen,SUB09281_SPL21,23134565,1623431,5969369,10435,N/F,N/F,1209337216,63162921,36410893,29385110,39339517,N/F,N/F,59927856,4275993,13666505,42852084,9132043068,1
22,sunflower,elevated,pollen,SUB09281_SPL22,405786,1020153,536918,5117,N/F,N/F,957955435,5403796,3422970,15559375,8295176,N/F,N/F,9211652,495608,4986584,2278559,9308347368,1
23,sunflower,elevated,pollen,SUB09281_SPL23,451475,1298230,956030,N/F,N/F,N/F,1060287680,8631964,4830172,19194957,7821819,N/F,N/F,10288901,271555,5393792,2661315,9353494918,1
24,sunflower,elevated,pollen,SUB09281_SPL24,9760798,711601,497558,33017,N/F,N/F,1026908410,22433275,13477840,21674964,19498988,N/F,N/F,19018645,274552,7109149,8498889,8548145694,1
25,sunflower,elevated,pollen,SUB09281_SPL25,29744459,1339279,2883115,4809,N/F,N/F,605750692,#VALUE!,35662293,22021474,41265645,N/F,N/F,48006282,16238876,14559758,40278127,6881413549,1
26,sunflower,elevated,pollen,SUB09281_SPL26,406370,5197850,2506837,9411,924114,N/F,1014708000,#VALUE!,3419552,15832931,5570686,N/F,N/F,7929036,409942,4948112,2360382,8475612045,1
27,sunflower,elevated,pollen,SUB09281_SPL27,642644,1141440,108007,N/F,N/F,N/F,982006959,4720593,2052610,13307519,6787899,N/F,N/F,7043684,404289,7079094,1804631,8775184918,1
28,sunflower,elevated,pollen,SUB09281_SPL28,3871356,985976,669225,N/F,N/F,N/F,1022716613,11930953,7564422,18370690,9628940,N/F,N/F,13551369,775920,5675653,9306673,8448046771,1
29,sunflower,ambient,pollen,SUB09281_SPL29,749133,968045,2985528,N/F,N/F,N/F,1020016253,#VALUE!,5841713,17412213,6991008,N/F,N/F,12834902,730115,5795664,3887905,9071839690,1
30,sunflower,ambient,pollen,SUB09281_SPL30,1007452,689076,708024,5546,N/F,N/F,1049396110,#VALUE!,3125113,14527716,5731917,N/F,N/F,8439196,301983,6023110,2636283,9557311733,1
31,sunflower,ambient,pollen,SUB09281_SPL31,869417,758029,537493,N/F,N/F,N/F,1159292110,7199304,2925714,21390925,6569337,N/F,N/F,9203212,272897,6968109,3089416,8893371438,1
32,sunflower,ambient,pollen,SUB09281_SPL32,3586854,1043403,732629,15600,N/F,N/F,1180609132,15627480,8867236,16431514,10301523,N/F,N/F,13587456,1115634,9163116,4567052,9396785784,1
33,sunflower,ambient,pollen,SUB09281_SPL33,423379,436753,105049,N/F,N/F,N/F,1140561714,5585285,4140165,18517085,4884624,N/F,N/F,7670323,255590,6101496,2493028,9015339725,1
34,sunflower,ambient,pollen,SUB09281_SPL34,1178444,364863,659266,N/F,N/F,N/F,1089393878,9810563,4690973,16353887,6763026,N/F,N/F,9629911,283695,6984134,4179412,8841709575,1
35,sunflower,ambient,pollen,SUB09281_SPL35,2068215,1766434,138442,3006,N/F,N/F,1010718471,#VALUE!,5430762,14297038,7533095,N/F,N/F,10273152,449449,7059020,3342955,9011258488,1
