Sample ID,Sample_weight,N,C,OMIT,NOTES,Plant_SP,ID,CO2,Round
B162,1.471,7.8031,52.2919,,,B,1,0,1
B1163,1.461,7.0442,51.9732,,,B,11,1,1
B762,1.385,7.3649,52.5152,,,B,7,0,1
B360,1.316,7.3162,52.168,,,B,3,1,1
B561,1.352,7.099,52.512,,,B,5,0,1
B563,1.475,7.3783,52.3695,,,B,5,1,1
B362,1.417,7.5277,51.9281,,,B,3,0,1
B1361,1.225,6.8869,53.8589,,,B,13,0,2
B763,1.398,7.8786,52.6377,,,B,7,1,1
B762,0.855,7.2026,52.0275,1,,B,7,0,1
B961,1.409,7.1911,52.0786,,,B,9,0,1
B163,1.363,7.3772,52.295,,,B,1,1,1
B1162,1.423,7.0071,52.1855,,,B,11,0,1
B962,1.387,7.1675,51.1183,,,B,9,0,1
B361,1.326,7.1505,53.3011,,,B,3,0,1
B161,1.437,7.262,51.0597,,,B,1,0,1
B760,0.831,7.6927,51.6298,,,B,7,1,1
B1262,1.371,6.6994,48.9092,,,B,12,0,1
B960,1.415,7.3347,52.8743,,,B,9,1,1
B963,1.451,7.368,52.5055,,,B,9,1,1
B760,1.36,7.2479,51.7316,1,,B,7,1,1
B2063,1.386,7.3319,51.6617,,,B,20,1,2
B1460,0.976,6.9487,51.9526,,,B,14,1,2
B363,0.861,7.3921,51.7289,,,B,3,1,1
B1362,1.348,7.0613,52.927,,,B,13,0,2
B1662,1.331,7.0505,52.1103,,,B,16,0,2
C363,0.559,4.5033,49.3887,,,C,3,1,1
B2262,0.389,7.1589,51.6014,1,,B,22,0,2
B1861,0.91,6.8985,53.2257,,,B,18,0,2
B761,1.487,7.1674,51.6268,,,B,7,0,1
C961,0.901,6.0031,50.2357,,,C,9,0,1
B560,1.489,7.0211,51.5074,,,B,5,1,1
C1161,0.529,5.8793,50.1313,,,C,11,0,1
B1161,1.401,7.0498,53.3746,,,B,11,0,1
C362,0.482,5.5054,50.1779,,,C,3,0,1
B362,1.445,7.3707,52.0386,1,,B,3,0,1
